time,lat,long,z,magn
2011-04-01,41.781789,-87.615806,2,4.5
2011-04-01,41.783158,-87.615843,2,4.5
2011-04-01,41.817768,-87.611527,2,4.5
2011-04-01,41.783317,-87.602897,2,4.5
2011-04-01,41.753455,-87.564489,2,4.5
2011-04-02,41.826966,-87.642502,2,4.5
2011-04-02,41.807669,-87.633473,2,4.5
2011-04-02,41.835336,-87.633891,2,4.5
2011-04-02,41.791651,-87.619295,2,4.5
2011-04-02,41.829641,-87.614603,2,4.5
2011-04-02,41.811476,-87.605617,2,4.5
2011-04-02,41.820615,-87.604631,2,4.5
2011-04-02,41.799703,-87.604074,2,4.5
2011-04-02,41.801932,-87.598088,2,4.5
2011-04-02,41.800291,-87.596809,2,4.5
2011-04-02,41.753077,-87.577091,2,4.5
2011-04-02,41.754511,-87.571318,2,4.5
2011-04-02,41.762329,-87.567790,2,4.5
2011-04-02,41.756832,-87.562846,2,4.5
2011-04-02,41.756931,-87.562847,2,4.5
2011-04-02,41.753812,-87.561569,2,4.5
2011-04-03,41.832674,-87.647750,2,4.5
2011-04-03,41.759283,-87.633442,2,4.5
2011-04-03,41.792155,-87.619299,2,4.5
2011-04-03,41.821348,-87.610803,2,4.5
2011-04-03,41.811285,-87.602593,2,4.5
2011-04-03,41.769989,-87.584846,2,4.5
2011-04-03,41.772325,-87.582473,2,4.5
2011-04-03,41.772370,-87.582473,2,4.5
2011-04-03,41.767243,-87.568544,2,4.5
2011-04-03,41.768963,-87.566670,2,4.5
2011-04-04,41.824253,-87.639718,2,4.5
2011-04-04,41.765470,-87.622135,2,4.5
2011-04-04,41.782006,-87.622355,2,4.5
2011-04-04,41.759672,-87.616593,2,4.5
2011-04-04,41.824596,-87.618071,2,4.5
2011-04-04,41.822812,-87.611419,2,4.5
2011-04-04,41.797386,-87.601115,2,4.5
2011-04-04,41.775966,-87.587403,2,4.5
2011-04-04,41.753252,-87.581627,2,4.5
2011-04-04,41.753252,-87.581711,2,4.5
2011-04-05,41.809946,-87.633821,2,4.5
2011-04-05,41.764905,-87.626689,2,4.5
2011-04-05,41.798902,-87.620809,2,4.5
2011-04-05,41.829269,-87.606627,2,4.5
2011-04-05,41.771099,-87.582738,2,4.5
2011-04-05,41.771099,-87.582738,2,4.5
2011-04-05,41.754397,-87.572532,2,4.5
2011-04-06,41.762816,-87.608094,2,4.5
2011-04-06,41.773174,-87.609841,2,4.5
2011-04-06,41.769766,-87.589849,2,4.5
2011-04-06,41.770043,-87.584846,2,4.5
2011-04-06,41.772432,-87.582774,2,4.5
